,Tweet,Emotion,Intensity
116,5am blues while riding a cab home:\n- my belly is much bigger than the rest of my body\n- but i couldnt be preggy\n- how to lose it in a day,sadness,2
117,"TONIGHT - Fulford Arms, York \nTOMORROW - Bank Top Tavern, Oldham\nNEXT SATURDAY- Big Hands, Manchester \n\n#livemusic #punk #blues #rockandroll",sadness,0
118,Do not grow weary of doing good' a lasting legacy @billclinton @ClintonGlobal #CGI2016 #thankfulmoment @ProjectThankful,sadness,0
119,@tgshepherdvan I'm not there yet. Hasn't sunk in yet. Rest up.,sadness,2
120,there are #serious #chinks in #Indiaâ€™s #armour'\n#protein\n#malnutrition\n#feedingIndia\n#skillingIndia\n#cognitive #deficit\n@Abhijit_Iyer,sadness,0
121,@GrimsToyShow @hunna_chunna you got hacked on your gaming channel grim by evil wood clowns yesterday September 20 and September 21 today,sadness,0
122,"@DxfyingGrxvity - that were rather forlorn, scanning the witches house before resting back on Elphie. 'The Grimmerie is gone.'",sadness,1
123,"If you love something, let it go. If it comes back, it is yours. If it doesn't, it never will. #sadness #accepting",sadness,3
124,Need advice on how to get out of this rut!!!!  #needmotivation,sadness,3
125,@HartRamsey #UPLIFT If you're still discouraged it means UR Listening to the wrong voices &amp; looking to the wrong source. Look to the LORD!,sadness,0
126,"@ImNotInfected â€” rather someone that could help her. Concern clouded her green eyes, not once having seen a girl alone in the woods and â€”",sadness,1
127,@strong_bread dude we same fukc i lost my spectacles this morning.......,sadness,1
128,Kinda wanna just book a vacation and go...anyone wanna tag along? #adventure #serious,sadness,0
129,Seeing something that hurt so much in the past in front of me now and not a single sign of grieve. Magicalllll.  âœ¨,sadness,0
130,"so fucking sad when the person you love doesn't try fighting for your happiness, when you'd do anything for them.",sadness,3
131,The new lock sound is grim,sadness,2
132,@TalesofanAlfa @David_Milloy \nI like your thinking...but sadly no - that's the shed ðŸ˜¢,sadness,2
133,Candace &amp; her pout are getting right on my tits #GBBO,sadness,0
134,We can't even grieve over one black body before another one pops up due to pig brutality,sadness,3
135,So when I try I fail... and when I don't try... I still fail... #confused and #lost,sadness,3
136,@theJeremyVine Noel Edmonds reckons a cat he's talking to is stressed because of the uncertainty over #GBBO future!?!? #plot #lost,sadness,1
137,"Dropped my phone in the sink earlier.No sound, but everythin else works.Prepared myself for life without music until I put my earphones in",sadness,1
138,"@StaceyDavidson_ You're a thief and a liberal mope, investigated by the financial services board for theft of govt retirement funds. THIEF",sadness,2
139,"We're in contained depression. Only new economic engine is #Sustainability, say Joel @makower + @markmykleby @ #VERGEcon. #NewGrandStrategy",sadness,2
140,Awake at 5.30am with a seriously bad throat ðŸ˜©ðŸ˜©ðŸ˜©ðŸ˜©ðŸ˜·ðŸ¤’ glands feel huuuuuuuge and I'm in uni soon! #grim,sadness,3
141,Season 3 and Charlie is still a prick! #lost,sadness,0
142,I'd rather die alone then end up with somebody who can't be sober,sadness,2
143,"@MarGraham I am practically obsessed with it, the very thought of their departure makes me feel both melancholic and grateful.  Safe journey",sadness,0
144,Go follow 'juspopmolly' on snapchat that hoe sitting on the sink right now @Cocaineandtacos,sadness,0
145,My 2 teens sons just left in the car to get haircuts. I'm praying up a storm that they make it home safely!! #sad #TerenceCrutcher,sadness,2
146,Always borrow money from a pessimist; he doesn't expect to be paid back.,sadness,0
147,"@othrcarl @IX_SW @purenift I'm sadly not, I'm just being smutty",sadness,2
148,@TDYLN sadly not :(,sadness,2
149,How do you help someone with #depression who doesn't believe they have it and doesn't trust therapists?,sadness,2
150,"9/30 Howland Cultural Center, #BeaconNy Vickie Raabin &amp; Chris Raabe #blues #soul 8pm  @LocalMotionWVKR @hiddencitiesnyc 845-831-4988",sadness,0
151,@Barcabhoy1 Of course not. Didn't sink his studs into a knee like Forrester,sadness,0
152,"Transparency and openness ' is a dull sell for a fans group - want more verbs like buying, defending, building and securing.",sadness,0
153,were sat in my sat room cloved watchin Manchester Unide @ManUtd v Norffampton do you fink but @WayneRooney is still goal fret at iced level,sadness,0
154,Seeing an old coworker and his wife mourn the loss of their 23 year old daughter was one of the saddest things I've ever seen ðŸ˜¢,sadness,3
155,gloomy weather puts me in the best mood,sadness,0
156,me: tis a dreary day today\nfriend: he's a teenager not Shakespeare's reincarnation \n\nim such a dumbass lol,sadness,1
157,"@localblactivist I'm always a little bit weary of speaking up because 1. I don't want to hijack the convo - as an LGBT person, I've seen",sadness,1
158,Baaarissshhhhh + sad song =  prefect night â€” feeling alone,sadness,3
159,"tones - \n: 1/2 of my favourite chris pine stans. i love tones more than anything, mt sweet summer child i will attack anyone who hurts her",sadness,0
160,"gotta say this n put it out there. whoever u r, u should support other people's decisions n not discourage them...",sadness,0
161,This is the @Fender #blues #junior. I'm looking forward to play on it as soon as possible. #guitar #guitarrist #music,sadness,0
162,Learning how to use twitter #lost,sadness,0
163,"@MHChat sadness with resentment is the past, sadness with fear is the future. try to live in the now #MHchat",sadness,1
164,"#Jazz - the #blues is the roots, the rest is the fruits",sadness,0
165,Actually I always idealize the end of my relationships .. Such a pessimist,sadness,2
166,Getting so excited for @ClearwaterJazz 2016!! We play the main stage Sunday Oct. 16 at 3:30!! #jazzholiday #riesbrothers #rock #blues #jam,sadness,0
167,Damn gud #premiere #LethalWeapon...#funny and ,sadness,0
168,@KristenWACamera I really enjoyed both episodes. I had a bit of a gloomy day today but I feel a sense of inspiration from listening.,sadness,1
169,That's how you start a season that's how you open the show #show #them #how #dark #hell #can #get #Empire,sadness,0
170,"This room is rather dreary, but we endure what we must.",sadness,3
171,@ashleighjessica @zacflint1 I'd give that pout the firm D,sadness,1
172,So drunk me hid my keys very well sober me couldn't find it anywhere,sadness,0
173,"Had to give my 11yo AfAm son this advice today: 'be polite, no sudden movements, keep hands where they can see them'. #sadness",sadness,2
174,i am about to find the sadness in graham's lyrics,sadness,2
175,Not a great start but good comeback from the boys to earn a point. Bring on Saturday #blues,sadness,0
176,"its a gloomy day, im cuddled in my bed watching brendon covering songs and i couldnt be more relaxed or happy ðŸ˜‹",sadness,0
177,come to the funeral tomorrow at 12 to mourn the death of my gpa,sadness,3
178,"When we are weak &amp; in despair, our Mighty God is near;He will give us strength &amp; joy &amp; hope, &amp; calm our inner fear, just have faith &amp; trust.",sadness,0
179,@xaninaany I'm so serious DM me I'll tell u more,sadness,0
180,Henderson showing that when times are hard he leaves or goes missing #AFLCatsSwans #seenitbefore #lions #blues,sadness,0
181,TGIF! Hope everyone that needs to find #recovery can and that our friends stay #sober this weekend! @REBOSTreatment @BlvdCenters,sadness,0
182,I wonder what would happen if I were a father. #weary,sadness,2
183,"What's a Kali's kitten? [She asked, a frown curling on her fair skinned forehead as he showed her the scar] A cat did - (@ScarredTiger)",sadness,0
184,"@LucidBurrito Doesnt do it to anyone else, he literally pulled me into the office cause someone complained I spit in the sink yesterday",sadness,1
185,"@sundersays made me laugh, that quote. In a sort of rueful way.",sadness,0
186,@realDonaldTrump negative campaign of doom and gloom don't win elections,sadness,1
187,@knology has providing customers w/equipment that doesn't deliver speeds of internet services that they have been charging.  #scam,sadness,2
188,@RealTimBooth I've never been fond of having dark eyes until seeing this share.,sadness,0
189,Dylon felt dejected. He has a dejected aunt!,sadness,2
190,"I don't know why everyone is pretending to be sad about angelina and brad, everyone knows his dumb ass should've stayed with jennifer.",sadness,0
191,"I'd rather laugh with the rarest genius, in beautiful alliance with his own being, where he kept his sadness. #melancholy",sadness,3
192,"@BlurtAlerts 'the darkest of nights can be bright, the solemn of faces lights up with a smile'. -@Totemprince believe in me, as I do in you",sadness,0
193,Bro Why pine green forget me nots are mediumpurple pickering is not lit and so on,sadness,0
194,Love is when all your happiness and all your sadness and all your feelings are dependent on another person.,sadness,0
195,Heart heavy for lost furry family members. Remembering Max and Ozzie. Forever friends as ðŸ¶ðŸ˜‡,sadness,3
196,Dreams dashed and divided like million stars in the night sky.,sadness,3
197,@OniLink86 @DarekMeridian lmao awe... ,sadness,0
198,"someone explain female human beings to me, they're depressing me ._.",sadness,3
199,@RossKemp great programme tonight #sad #upsetting #extremeworld,sadness,2
200,@jeremycorbyn @magstogether my god is @jeremycorbyn a full shilling? Seriously you need a major rethink or no lab gove in your lifetime ,sadness,0
201,I need all your attention! If I don't I'll pout..,sadness,0
202,"Migraine hangover all day. Stood up to do dishes and now I'm exhausted again. GAD, depression &amp; chronic pain #anxiety  #pain",sadness,3
203,"When you saw a t-shirt with the phrase 'My mind is a dangerous place to be' and you would like to buy, but in Italy don't sell it. #sadness",sadness,2
204,"Although this is my best semester so far, this is also my most depressing because I'm constantly reminded that I'm not meant for greatness",sadness,3
205,so gutted i dropped one of my earrings down the sink at school,sadness,2
206,Remember your journey is unique! Don't get discouraged because you're comparing your journey to someone else's. You will get there!,sadness,0
207,@TootingCommon stop!!! Don't make me laugh when I'm being sad.,sadness,3
208,Feeling worthless as always #depression,sadness,3
209,Listening to @wdwradio at work is my slice of sunshine in this dreary cube world #9to5life,sadness,1
210,Love all the ex United managers on Twitter who form our fanbase. Honestly I despair at times. Just back the fucking team eh #MUFC,sadness,2
211,Brb going to sulk in bed until Friday,sadness,2
212,It's always depressing to sort WordPress plugin recommendations not by 'best' but by 'least offensive in terms of premium features.',sadness,2
213,"@GOP she's ahead in the polls &amp; after Trumps dismal performance at upcoming debate, it will be an easy win for Hillary.",sadness,0
214,it's pretty depressing when u hit pan on ur favourite highlighter,sadness,2
215,@5SOS I swear I will not go mourn becauseðŸ˜­ðŸ˜­ðŸ’”ðŸ’”,sadness,2
216,@JensenAckles @jarpad whatever Sam is holding on your tee looks like it's got a droop on ðŸ˜‚,sadness,0
217,@hamzakhawaja99 just die depression.,sadness,3
218,@MHChat I think sadness is felt very strongly physically and mentally.  It feels like it takes over and it's hard to focus at work #MHChat,sadness,2
219,@FlakeJay ring ring! #depression is here,sadness,3
220,Having holiday blues! #WantToGoBackToMinehead.,sadness,2
221,"I lost my wallet, then found it, then lost it again AND THEN FOUND IT!!!!! \nCollege is brazy",sadness,0
222,"It's my last week at CN! I'm gonna be sad to leave, but this will also be my first planned break since going into animation!",sadness,1
223,@jeremycorbyn @magstogether my god is @jeremycorbyn a full shilling? Seriously you need a major rethink or no lab gove in your lifetime #sad,sadness,3
224,It's now September and we're still battling a situation that was said to be handled March of this year. @ATT this is unacceptable #unhappy,sadness,3
225,@susanbrodigan @lyricconcert Ha yes- the look of despair!,sadness,1
226,Ill say it again. If I was a Black man Id be afraid to leave my house or have a moving violation.\n\n#TerranceCrutcher #truth #sad,sadness,3
227,I feel like a burden every day that I waste but I don't know how to get out of this bc I get so discouraged all I wanna do is lay around ðŸ™ƒ,sadness,3
228,I'd pay good money to watch someone slap that pout off Candice.,sadness,0
229,ACT 4 #anxiety &amp; #depression group. @livingwellihc beginning Mon October 17 for 6 weeks. Contact me to register now! #mindfulness #Halifax,sadness,2
230,Listening to old school house music kentphonic-sunday showers 'hanging around' 'sing it back' #blues,sadness,0
231,"@Cigna bows out for the moment. Rather than sulk, I'm going to @UCSF for an opinion from the guys studying #Oligodendroglioma. âœŒï¸&amp; â¤ï¸ &amp; ðŸ©'s",sadness,0
232,@deshbhakthoon always unhappy and easily offended.,sadness,2
233,"When mine pass, I know I'll be inconsolable &amp; devastated. For a while.",sadness,3
234,@Beakmoo hmmmm...you may have a point... I thought Twitter had got dull ðŸ˜‚. LAMINATION,sadness,2
235,I'll just have to #eat my way to #sobriety. This'll be a hell of a journey back to #sober,sadness,2
236,Depression sucks! #depression,sadness,3
237,I don't care what shape the blues are in. \nWe owe them a fucking hiding. \nLong overdue on that front.,sadness,0
238,@thetroche94 @ramiro_cedeno yeah if you want to become obese it is! ðŸ˜… I can afford it so I don't think it's that serious haha,sadness,0
239,@Adrian_Specs Far from safe and staid I found it horribly OTT at times while everyone seemed to be trying just a little too hard. Not for me,sadness,1
240,@Batman_ofgotham Her golden brown hues met with those baby blues as her arms crossed over the breasts he had been gulking at. 'Let me guess-,sadness,0
241,some people leave toilets in fucking grim states,sadness,1
242,I don't want perfect. It's too boring and dull.,sadness,0
243,@wombletheballer well done broðŸ˜ #blues #stategames #captain #shootthegerman,sadness,0
244,Today: Kudos to Jaime Garcia on a fine outing.     #encouraging. Last Week: Judo to Jaime Garcia for a dismal outing. #discouraging,sadness,2
245,"6 might be a serious number, but 10 sounds better. Wild card race!!",sadness,0
246,"Amateurs sit and wait for inspiration, the rest of us just get up and go to work.' -- Stephen King #authors #serious #writingtip",sadness,0
247,@pete_ferriday Aww rest your weary head here,sadness,0
248,The @Orioles are in contention and hosting @RedSox nation and Camden is empty ,sadness,0
249,My life went from happy to unhappy..,sadness,3
250,"Hello my dear friends, I will be back online this Friday night. I miss you! #sober #sobriety #recovery",sadness,0
251,"That's me for the evening, though! Way too lit to finish these off properly without causing some serious mischief.",sadness,0
252,@WestHamUtd poor service tonight to find season ticket holders in the seats we purchased online. Forced to move further away #unhappy,sadness,2
253,@metalAndTheGeek @astoldbyfANGIRL SAME! I always say it was the best time of my life. I closed my store down and it was so depressing,sadness,3
254,"How many tweets is that now? How fast was I going? God, I love being #sober and #intelligent.",sadness,0
255,"@stevierayrob Can Elliot Friedman please stop talking, you are clueless. You haven't seen the ball since the kickoff. #mope",sadness,2
256,Sister: (Canadian player does something shady.) Jonathan Toews is frowning and he doesn't know why. #WorldCupOfHockey,sadness,0
257,"It is a solemn thing, and no small scandal in the Kingdom, to see Godâ€™s children starving while seated at the Fatherâ€™s table. -AW Tozer",sadness,0
258,Remembering those day when u still did'nt know kpop n thinking about how sad your life was without it - Kpop fan,sadness,1
259,@SalterUK second pair of scales I have bought that have stopped working after battery change. Is this an issue you are aware of?  #unhappy,sadness,2
260,@BoardEveryday @turnorder @pinchback21 80s new wave/techno - or jazz / blues depending my mood,sadness,0
261,@OniLink86 @DarekMeridian lmao awe...  #sad,sadness,1
262,"Not written for African-American\n\nNo refuge could save the hireling and slave\nFrom the terror of flight or the gloom of the grave,",sadness,2
263,"Come here, let me do whatever I do with it. #dismal",sadness,2
264,I have serious problems with the expectation that private philanthropy should replace functional government services...this is dangerous,sadness,0
265,@SilkInSide @TommyJoeRatliff that's so pretty! I love the sky in the background and the purple highlights with the dull colors is great,sadness,0
266,@lefluerr Lol yeah I read that but I stayed up and didn't nap tillI collect 3 people who I think they've got me ðŸ˜‚ðŸ˜‚!!,sadness,0
267,Now I'm going to sulk again for a week until #OurGirl is back on! @michkeegan and @benaldridge07 are the best! @OurGirlWatch,sadness,1
268,"@Meruna_  as a musician, I can tell you that more people get discouraged when learning because of shitty instruments than anything else.",sadness,2
269,I saw someone discourage someone from following their dreams. Just because you want to live in mediocrity doesn't mean someone else should.,sadness,1
270,"Trying to think positive, and not let this situation discourage me âœ¨âœ¨âœ¨âœ¨âœ¨âœ¨âœ¨âœ¨âœ¨âœ¨âœ¨âœ¨âœ¨âœ¨âœ¨âœ¨âœ¨âœ¨âœ¨âœ¨âœ¨âœ¨âœ¨âœ¨âœ¨âœ¨âœ¨âœ¨âœ¨âœ¨âœ¨âœ¨âœ¨âœ¨âœ¨âœ¨âœ¨âœ¨âœ¨âœ¨âœ¨âœ¨âœ¨âœ¨âœ¨âœ¨âœ¨âœ¨âœ¨âœ¨âœ¨âœ¨âœ¨âœ¨âœ¨âœ¨âœ¨âœ¨âœ¨âœ¨âœ¨âœ¨âœ¨âœ¨âœ¨âœ¨âœ¨âœ¨âœ¨âœ¨âœ¨âœ¨âœ¨",sadness,1
271,No one wants to win the wild card because you have to play the Cubs on the road.  #sadness,sadness,3
272,â™ªOLD FISH  #discourage,sadness,2
273,The new @chaseandstatus song is mega ðŸ’¥ reminds me of @SundownUK #blues,sadness,0
274,I came to work for no reason ðŸ˜©ðŸ”«\nI could've stayed in bed,sadness,3
275,@BlackToLive Good - cuz that's what Trump is: a fucken 'N'azi. Don King-u havnt sunk this low since u set up Mike Tyson. 2 pathetic Dons.,sadness,1
276,Their engine runs on fuel called whining :-)\n\nU jst  hv 2b observant..\nHar din Rona dhona &amp; complain. \nHappy news makes them unhappy :-),sadness,1
277,When you lose somebody close to your heart you lose yourself as well ðŸ’” ,sadness,3
278,"#savemoney and #savelifes @ your #openbar @your #weddingreception. Close it 1-2 hours early, forcing your guests to sober up before driving.",sadness,0
279,Gonna be a loooooong year as a Browns fan. Longer than normal and that's ,sadness,0
280,"Eating an egg is grim, you are eating the material embodiment of a fart and an unborn chick",sadness,2
281,The snaps/Insta pics I see of the friends I made while in Cali are so unbelievably depressing cause there's no place I'd rather be but there,sadness,3
282,Panic attacks are the worst. Feeling really sick and still shaking. I should be a sleep. #anxiety #depression,sadness,3
283,Buddha doesn't possess enough power to deliver you from your affliction!,sadness,2
284,My friends tell me I'm pretty. Trigger tells my I'm ugly. I first was confused but then realised I'm both. Pretty ugly. #tru #sad #tumblr,sadness,2
285,Can we go back 2 weeks and start again ?? This is seriously dreadful,sadness,2
286,"The two Brians, @BlackEyedNBlues &amp; @onthehorn500, also known as the Nigella Lawsons of #blues &amp; #pizza.",sadness,0
287,@grumpy_pumper I involuntarily smile when you frown in photos. And giggle. How annoying!!,sadness,0
